delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Polygon.started,Polygon.stopped,key_Resp.keys,key_Resp.rt,key_Resp.started,key_Resp.stopped,Sound_1.started,Sound_1.stopped,display_text.started,display_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.7,400,exp,7,5,75,8,737.7022171,742.7039464,744.6874268,None,space,0.9082501,744.6874268,None,746.3039864,None,746.6845653,None,1,1.1040078,746.6845653,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,7,6,76,6,747.78354,752.7868845,754.7705259,None,space,0.3774113,754.7705259,None,755.2544413,None,755.6412505,None,1,0.7596525,755.6412505,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,7,7,77,2,756.3828355,761.3868531,763.3697761,None,space,0.745107,763.3697761,None,764.8197869,None,765.2113782,None,3.0390625,1.4577962,765.2113782,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,7,8,78,5,766.6330854,771.6360002,773.6193274,None,space,0.7205425,773.6193274,None,775.0524982,None,775.4424822,None,2.16015625,1.37034,775.4424822,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,7,9,79,1,776.8006371,781.8023619,783.7852633,None,space,1.1679392,783.7852633,None,785.3689687,None,785.7688059,None,1.058593661,1.1541595,785.7688059,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,8,0,80,0,786.9152666,791.9185568,793.9016286,None,space,0.8701283,793.9016286,None,794.8851959,None,795.271393,None,1.03515625,1.4112128,795.271393,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,8,1,81,3,796.6485163,801.6510927,803.6343827,None,space,0.9107672,803.6343827,None,804.651198,None,805.0431109,None,1.03515625,1.3142758,805.0431109,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,8,2,82,1,806.3306163,811.3339009,813.3006242,None,space,0.6688998,813.3006242,None,814.3841837,None,814.773479,None,1.03515625,0.7090365,814.773479,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,8,3,83,5,815.4650802,820.4671423,822.4504743,None,space,0.4124378,822.4504743,None,823.5670406,None,823.9556623,None,2.992187411,2.0069549,823.9556623,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,8,4,84,2,825.9462221,830.9501254,832.933922,None,space,0.4774749,832.933922,None,834.116416,None,834.4947858,None,2.113281161,2.0499974,834.4947858,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
